time	V(vin)	V(vout)
0.000000000000000e+000	0.000000e+000	9.636339e-014
9.999999960041972e-012	1.256637e-009	6.204087e-009
3.999999984016789e-011	5.026548e-009	1.860435e-008
1.599999993606716e-010	2.010619e-008	-1.771879e-008
1.279999994885372e-009	1.608495e-007	-6.967069e-007
1.023999995908298e-008	1.286796e-006	-1.176418e-005
3.310719994762621e-006	4.126359e-004	-4.339955e-003
5.310719994762620e-006	6.544027e-004	-6.911714e-003
7.310719994762620e-006	8.858492e-004	-9.393566e-003
9.310719994762621e-006	1.103325e-003	-1.174312e-002
1.131071999476262e-005	1.303402e-003	-1.391928e-002
1.331071999476262e-005	1.482922e-003	-1.588317e-002
1.531071999476262e-005	1.639056e-003	-1.759904e-002
1.731071999476262e-005	1.769341e-003	-1.903511e-002
1.931071999476263e-005	1.871723e-003	-2.016442e-002
2.131071999476263e-005	1.944586e-003	-2.096554e-002
2.331071999476263e-005	1.986783e-003	-2.142311e-002
2.531071999476263e-005	1.997646e-003	-2.152833e-002
2.731071999476263e-005	1.977005e-003	-2.127917e-002
2.931071999476263e-005	1.925186e-003	-2.068043e-002
3.131071999476263e-005	1.843006e-003	-1.974360e-002
3.331071999476263e-005	1.731760e-003	-1.848657e-002
3.531071999476262e-005	1.593203e-003	-1.693309e-002
3.731071999476262e-005	1.429520e-003	-1.511218e-002
3.931071999476261e-005	1.243294e-003	-1.305731e-002
4.131071999476260e-005	1.037459e-003	-1.080563e-002
4.331071999476260e-005	8.152633e-004	-8.397016e-003
4.531071999476259e-005	5.802104e-004	-5.873195e-003
4.731071999476259e-005	3.360072e-004	-3.276848e-003
5.031071999476258e-005	-3.900522e-005	6.602290e-004
5.131071999476258e-005	-1.643615e-004	1.962949e-003
5.231071999476257e-005	-2.890691e-004	3.252354e-003
5.331071999476257e-005	-4.126359e-004	4.523519e-003
5.531071999476257e-005	-6.544027e-004	6.992148e-003
5.731071999476256e-005	-8.858492e-004	9.332486e-003
5.931071999476255e-005	-1.103325e-003	1.151104e-002
6.131071999476255e-005	-1.303402e-003	1.349748e-002
6.331071999476254e-005	-1.482922e-003	1.526486e-002
6.531071999476254e-005	-1.639056e-003	1.678979e-002
6.731071999476253e-005	-1.769341e-003	1.805251e-002
6.931071999476253e-005	-1.871723e-003	1.903699e-002
7.131071999476252e-005	-1.944586e-003	1.973091e-002
7.331071999476252e-005	-1.986783e-003	2.012568e-002
7.531071999476251e-005	-1.997646e-003	2.021647e-002
7.731071999476250e-005	-1.977005e-003	2.000217e-002
7.931071999476250e-005	-1.925186e-003	1.948541e-002
8.131071999476249e-005	-1.843006e-003	1.867255e-002
8.331071999476249e-005	-1.731760e-003	1.757368e-002
8.531071999476248e-005	-1.593203e-003	1.620265e-002
8.731071999476248e-005	-1.429520e-003	1.457701e-002
8.931071999476247e-005	-1.243294e-003	1.271800e-002
9.131071999476246e-005	-1.037459e-003	1.065046e-002
9.331071999476246e-005	-8.152633e-004	8.402740e-003
9.531071999476245e-005	-5.802104e-004	6.006475e-003
9.731071999476245e-005	-3.360072e-004	3.496359e-003
9.831071999476245e-005	-2.116738e-004	2.210199e-003
9.931071999476244e-005	-8.650497e-005	9.097887e-004
1.003107199947624e-004	3.900522e-005	-3.998482e-004
1.033107199947624e-004	4.126359e-004	-4.332355e-003
1.053107199947624e-004	6.544027e-004	-6.904066e-003
1.073107199947624e-004	8.858492e-004	-9.385873e-003
1.093107199947624e-004	1.103325e-003	-1.173538e-002
1.113107199947624e-004	1.303402e-003	-1.391150e-002
1.133107199947624e-004	1.482922e-003	-1.587536e-002
1.153107199947624e-004	1.639056e-003	-1.759119e-002
1.173107199947624e-004	1.769341e-003	-1.902724e-002
1.193107199947624e-004	1.871723e-003	-2.015654e-002
1.213107199947624e-004	1.944586e-003	-2.095764e-002
1.233107199947624e-004	1.986783e-003	-2.141520e-002
1.253107199947624e-004	1.997646e-003	-2.152043e-002
1.273107199947624e-004	1.977005e-003	-2.127128e-002
1.293107199947624e-004	1.925186e-003	-2.067255e-002
1.313107199947624e-004	1.843006e-003	-1.973574e-002
1.333107199947624e-004	1.731760e-003	-1.847874e-002
1.353107199947624e-004	1.593203e-003	-1.692530e-002
1.373107199947624e-004	1.429520e-003	-1.510442e-002
1.393107199947623e-004	1.243294e-003	-1.304960e-002
1.413107199947623e-004	1.037459e-003	-1.079797e-002
1.433107199947623e-004	8.152633e-004	-8.389407e-003
