time	V(vin)	V(vout)
0.000000000000000e+000	0.000000e+000	5.974620e-013
1.999999992008394e-011	3.141593e-007	-7.994271e-006
7.999999968033578e-011	1.256637e-006	-3.002719e-005
1.599999993606716e-010	2.513274e-006	-5.520973e-005
3.199999987213431e-010	5.026548e-006	-9.453609e-005
6.399999974426862e-010	1.005310e-005	-1.452019e-004
1.279999994885372e-009	2.010619e-005	-1.969488e-004
2.559999989770745e-009	4.021238e-005	-2.592223e-004
5.119999979541490e-009	8.042477e-005	-4.315732e-004
1.023999995908298e-008	1.608495e-004	-9.872268e-004
2.047999991816596e-008	3.216989e-004	-2.442624e-003
4.095999983633192e-008	6.433969e-004	-5.664204e-003
5.080685705400877e-007	7.987583e-003	-8.084229e-002
9.751771412438434e-007	1.530923e-002	-1.559156e-001
1.442285711947599e-006	2.260835e-002	-2.308841e-001
1.909394282651355e-006	2.988494e-002	-3.057478e-001
2.376502853355111e-006	3.713899e-002	-3.805067e-001
2.843611424058866e-006	4.437050e-002	-4.551608e-001
3.310719994762621e-006	5.157948e-002	-5.297101e-001
5.310719994762620e-006	8.180034e-002	-8.433259e-001
7.310719994762620e-006	1.107312e-001	-1.145153e+000
9.310719994762621e-006	1.379157e-001	-1.429986e+000
1.131071999476262e-005	1.629252e-001	-1.692939e+000
1.331071999476262e-005	1.853653e-001	-1.929519e+000
1.531071999476262e-005	2.048820e-001	-2.135698e+000
1.731071999476262e-005	2.211677e-001	-2.307978e+000
1.931071999476263e-005	2.339654e-001	-2.443443e+000
2.131071999476263e-005	2.430733e-001	-2.539803e+000
2.331071999476263e-005	2.483478e-001	-2.595430e+000
2.531071999476263e-005	2.497057e-001	-2.609384e+000
2.731071999476263e-005	2.471257e-001	-2.581426e+000
2.931071999476263e-005	2.406483e-001	-2.512024e+000
3.131071999476263e-005	2.303757e-001	-2.402345e+000
3.331071999476263e-005	2.164699e-001	-2.254239e+000
3.531071999476262e-005	1.991504e-001	-2.070211e+000
3.731071999476262e-005	1.786900e-001	-1.853378e+000
3.931071999476261e-005	1.554117e-001	-1.607427e+000
4.131071999476260e-005	1.296824e-001	-1.336554e+000
4.331071999476260e-005	1.019079e-001	-1.045395e+000
4.531071999476259e-005	7.252630e-002	-7.389581e-001
4.731071999476259e-005	4.200090e-002	-4.225388e-001
4.931071999476258e-005	1.081312e-002	-1.016307e-001
5.031071999476258e-005	-4.875653e-003	5.875937e-002
5.131071999476258e-005	-2.054518e-002	2.181713e-001
5.231071999476257e-005	-3.613364e-002	3.759075e-001
5.331071999476257e-005	-5.157948e-002	5.312780e-001
5.431071999476257e-005	-6.682177e-002	6.836047e-001
5.531071999476257e-005	-8.180034e-002	8.322259e-001
5.631071999476256e-005	-9.645608e-002	9.765005e-001
5.831071999476256e-005	-1.245692e-001	1.249582e+000
6.031071999476255e-005	-1.507178e-001	1.498344e+000
6.131071999476255e-005	-1.629252e-001	1.612382e+000
6.231071999476255e-005	-1.744895e-001	1.718978e+000
6.331071999476254e-005	-1.853653e-001	1.817798e+000
6.431071999476254e-005	-1.955094e-001	1.908573e+000
6.531071999476254e-005	-2.048820e-001	1.991107e+000
6.631071999476253e-005	-2.134460e-001	2.065274e+000
6.731071999476253e-005	-2.211677e-001	2.131019e+000
6.831071999476253e-005	-2.280165e-001	2.188348e+000
6.931071999476253e-005	-2.339654e-001	2.237324e+000
7.031071999476252e-005	-2.389909e-001	2.278050e+000
7.131071999476252e-005	-2.430733e-001	2.310653e+000
7.231071999476252e-005	-2.461964e-001	2.335267e+000
7.331071999476252e-005	-2.483478e-001	2.352015e+000
7.431071999476251e-005	-2.495192e-001	2.360991e+000
7.531071999476251e-005	-2.497057e-001	2.362249e+000
7.631071999476251e-005	-2.489069e-001	2.355799e+000
7.731071999476250e-005	-2.471257e-001	2.341599e+000
7.831071999476250e-005	-2.443692e-001	2.319567e+000
7.931071999476250e-005	-2.406483e-001	2.289589e+000
8.031071999476250e-005	-2.359776e-001	2.251531e+000
8.131071999476249e-005	-2.303757e-001	2.205262e+000
8.231071999476249e-005	-2.238646e-001	2.150671e+000
8.331071999476249e-005	-2.164699e-001	2.087679e+000
8.431071999476248e-005	-2.082210e-001	2.016261e+000
8.531071999476248e-005	-1.991504e-001	1.936451e+000
8.631071999476248e-005	-1.892937e-001	1.848352e+000
8.731071999476248e-005	-1.786900e-001	1.752137e+000
8.831071999476247e-005	-1.673811e-001	1.648052e+000
9.031071999476247e-005	-1.428289e-001	1.417586e+000
9.231071999476246e-005	-1.160241e-001	1.160190e+000
9.331071999476246e-005	-1.019079e-001	1.022637e+000
9.431071999476246e-005	-8.738955e-002	8.799298e-001
9.531071999476245e-005	-7.252630e-002	7.326739e-001
9.631071999476245e-005	-5.737682e-002	5.815021e-001
9.731071999476245e-005	-4.200090e-002	4.270700e-001
9.831071999476245e-005	-2.645922e-002	2.700507e-001
9.931071999476244e-005	-1.081312e-002	1.111307e-001
1.003107199947624e-004	4.875653e-003	-4.899468e-002
1.023107199947624e-004	3.613364e-002	-3.700586e-001
1.043107199947624e-004	6.682177e-002	-6.875416e-001
1.063107199947624e-004	9.645608e-002	-9.959295e-001
1.083107199947624e-004	1.245692e-001	-1.289892e+000
1.103107199947624e-004	1.507178e-001	-1.564373e+000
1.123107199947624e-004	1.744895e-001	-1.814673e+000
1.143107199947624e-004	1.955094e-001	-2.036524e+000
1.163107199947624e-004	2.134460e-001	-2.226156e+000
1.183107199947624e-004	2.280165e-001	-2.380354e+000
1.203107199947624e-004	2.389909e-001	-2.496512e+000
1.223107199947624e-004	2.461964e-001	-2.572666e+000
1.243107199947624e-004	2.495192e-001	-2.607531e+000
1.263107199947624e-004	2.489069e-001	-2.600514e+000
1.283107199947624e-004	2.443692e-001	-2.551732e+000
1.303107199947624e-004	2.359776e-001	-2.462003e+000
1.323107199947624e-004	2.238646e-001	-2.332838e+000
1.343107199947624e-004	2.082210e-001	-2.166418e+000
1.363107199947624e-004	1.892937e-001	-1.965561e+000
1.383107199947624e-004	1.673811e-001	-1.733675e+000
1.403107199947623e-004	1.428289e-001	-1.474710e+000
1.423107199947623e-004	1.160241e-001	-1.193089e+000
1.443107199947623e-004	8.738955e-002	-8.936459e-001
1.463107199947623e-004	5.737682e-002	-5.815419e-001
1.483107199947623e-004	2.645922e-002	-2.621833e-001
1.503107199947623e-004	-4.875653e-003	5.887276e-002
1.513107199947623e-004	-2.054518e-002	2.182843e-001
1.523107199947623e-004	-3.613364e-002	3.760201e-001
1.533107199947623e-004	-5.157948e-002	5.313901e-001
1.543107199947623e-004	-6.682177e-002	6.837164e-001
1.553107199947623e-004	-8.180034e-002	8.323371e-001
1.563107199947623e-004	-9.645608e-002	9.766111e-001
1.583107199947623e-004	-1.245692e-001	1.249691e+000
1.603107199947623e-004	-1.507178e-001	1.498452e+000
1.613107199947623e-004	-1.629252e-001	1.612489e+000
1.623107199947623e-004	-1.744895e-001	1.719085e+000
1.633107199947623e-004	-1.853653e-001	1.817903e+000
1.643107199947623e-004	-1.955094e-001	1.908677e+000
1.653107199947623e-004	-2.048820e-001	1.991210e+000
1.663107199947623e-004	-2.134460e-001	2.065376e+000
1.673107199947623e-004	-2.211677e-001	2.131119e+000
1.683107199947623e-004	-2.280165e-001	2.188448e+000
1.693107199947623e-004	-2.339654e-001	2.237423e+000
1.703107199947623e-004	-2.389909e-001	2.278148e+000
1.713107199947623e-004	-2.430733e-001	2.310750e+000
1.723107199947623e-004	-2.461964e-001	2.335364e+000
1.733107199947623e-004	-2.483478e-001	2.352111e+000
1.743107199947623e-004	-2.495192e-001	2.361087e+000
1.753107199947622e-004	-2.497057e-001	2.362345e+000
1.763107199947622e-004	-2.489069e-001	2.355895e+000
1.773107199947622e-004	-2.471257e-001	2.341696e+000
1.783107199947622e-004	-2.443692e-001	2.319665e+000
1.793107199947622e-004	-2.406483e-001	2.289687e+000
1.803107199947622e-004	-2.359776e-001	2.251630e+000
1.813107199947622e-004	-2.303757e-001	2.205362e+000
1.823107199947622e-004	-2.238646e-001	2.150771e+000
1.833107199947622e-004	-2.164699e-001	2.087781e+000
1.843107199947622e-004	-2.082210e-001	2.016364e+000
1.853107199947622e-004	-1.991504e-001	1.936555e+000
1.863107199947622e-004	-1.892937e-001	1.848457e+000
1.873107199947622e-004	-1.786900e-001	1.752243e+000
1.883107199947622e-004	-1.673811e-001	1.648159e+000
1.903107199947622e-004	-1.428289e-001	1.417694e+000
1.923107199947622e-004	-1.160241e-001	1.160300e+000
1.933107199947622e-004	-1.019079e-001	1.022748e+000
1.943107199947622e-004	-8.738955e-002	8.800409e-001
1.953107199947622e-004	-7.252630e-002	7.327854e-001
1.963107199947622e-004	-5.737682e-002	5.816141e-001
1.973107199947622e-004	-4.200090e-002	4.271825e-001
1.983107199947622e-004	-2.645922e-002	2.701637e-001
1.993107199947622e-004	-1.081533e-002	1.113250e-001
2.000000000000000e-004	3.216245e-016	1.139806e-003
